mark_sample_row_id,trial_id,Traps Fished,mark_code,mark_date,mark_time,release_site,release_date,release_time,num_measured,num_morts,num_marked,num_released,num_recap,Cone,RBDD Gates,mean_turbidity,run_designation,Exclude trial from analysis?,comments
{97E1B4AB-BE32-475A-BA19-C19B7408D5B3},001_16,4,B,2/3/2016,11:44,Pizza,2/3/2016,17:30,50,0,1310,1306,53,1,OUT,10.36,Fall,N,4 fish not released due to post mark mortality
{2DBF558A-B678-4409-840D-2C8C5DB1DC1F},001_18,3,B,10/9/2018,10:00,Pizza,10/9/2018,19:20,240,5,1182,1177,45,1,OUT,2.48,Winter,N,Trap 6 excluded from trial; therefore model shows 45 recaps; TE = 3.82 %Q = 2.972
{6CDADB9E-3620-4C56-9296-0C77FAFB2469},001_19,4,B,8/27/2019,11:20,Pizza,8/27/2019,20:04,80,7,896,889,45,1,OUT,2.96,Winter,N,Fish held overnight from SID 238 for mark. Fish from SIDs 238 & 239 used for mark. Trap 6 excluded from trial.
{FB0DD726-1701-41A8-8304-C9F32CB600A2},001_20,4,B,1/9/2020,12:20,Pizza,1/9/2020,17:12,100,3,1172,1168,62,1,OUT,2.55,Fall,N,"1172 marked fish, 3 morts and 1 weak excluded"
{0CBEF647-3CDE-4168-8BD8-E398AC81C7C4},001_21,5,B,1/20/2021,10:53,Pizza,1/20/2021,17:50,141,3,1013,1012,62,1,OUT,1.33,Fall,N,
{1DD63BF5-8084-4079-92DB-C4583AEEFFA0},001_22,5,B,1/12/2022,10:30,Pizza,1/12/2022,17:27,87,7,1527,1520,57,1,OUT,5.88,Fall,N,Fish held overnight from SID 011_22
{D14ED172-3B68-42F8-ACC6-F585FC0C5537},001_23,5,B,1/22/2023,13:51,Pizza,1/24/2023,19:40,171,1,877,875,24,1,OUT,14.24,Fall,N,Fish marked on 1/22 and held overnight for recovery and release on 1/23
{38F17844-4C6A-4DE1-9B02-EA847834CFB4},002_16,4,B,2/8/2016,16:13,Pizza,2/9/2016,17:35,94,2,1465,1442,66,1,OUT,4.6,Fall,N,2 morts during the marking process; 20 morts and 3 weak excluded from release group
{A28DB4C3-93B9-4466-8070-E99DDCA90EA5},002_18,3,B,10/11/2018,12:49,Pizza,10/11/2018,18:33,150,10,1259,1247,48,1,OUT,2.53,Winter,N,Trap 6 excluded from trial; Therefore 48 recaps; TE = 3.85 & %Q = 2.6353
{E686DF25-8D0D-40A6-B5CC-E755970892DD},002_19,4,B,9/3/2019,11:00,Pizza,9/3/2019,19:40,93,4,966,962,42,1,OUT,2.83,Winter,N,"Fish held overnight, then marked the following day and released the evening of mark. Trap 6 excluded from trial"
{67548B68-4D80-46CA-976C-241184A4F812},002_20,4,B,1/23/2020,14:50,Pizza,1/23/2020,17:16,143,3,1753,1745,28,0.5,OUT,4.09,Fall,N,Fish marked in higher turbidity than usual. Sample taken and read 10.8 NTUs
{5DD28918-5D02-4305-BDF5-39C55B324D86},002_21,5,B,2/10/2021,11:05,Pizza,2/10/2021,17:39,96,1,1015,1012,38,1,OUT,2.13,Fall,N,
{6414FAF5-5A41-4341-8F72-23653F79BD7B},002_22,5,B,1/20/2022,10:44,Pizza,1/20/2022,17:15,108,2,1500,1497,56,Mixed,OUT,5.26,Fall,N,Fish held overnight from SID 019_22. Two recaps on day 2. There was an additional single recap on day 3. Excluded 3rd day recap from entry. Without day 3 recap TE = 3.74%; %Q = 2.483 With day 3 TE = 3.81%; %Q = 2.442
{8D55966D-3807-44B5-AE6D-DFF89128D2C6},002_23,5,B,2/4/2023,10:30,Pizza,2/4/2023,17:31,132,1,1500,1499,81,1,OUT,16.1,Fall,N,Fish held overnight & marked next day. 9g BB used. Total held 1523; 23 excluded prior to mark. Fish obtained within 5 days of 1.5 million FCS fry release.
{74446808-878D-4EF9-A14A-A08ABCA5135A},003_16,4,B,2/12/2016,12:15,Pizza,2/13/2016,17:45,129,0,1178,1155,73,1,OUT,3.8,Fall,N,23 fish not released; 16 morts and 7 weak
